Cycle,Date,Time,Device
1,18/04/2025,00:55:45,1
1,18/04/2025,00:56:03,2
1,18/04/2025,00:56:21,3
1,18/04/2025,00:56:40,1
1,18/04/2025,00:56:58,1
1,18/04/2025,00:57:16,2
1,18/04/2025,00:57:34,0
1,18/04/2025,00:57:52,3
1,18/04/2025,00:58:10,6
1,18/04/2025,00:58:28,3
1,18/04/2025,00:58:46,3
1,18/04/2025,00:59:05,1
1,18/04/2025,00:59:23,4
1,18/04/2025,00:59:41,4
1,18/04/2025,01:00:00,1
1,18/04/2025,01:00:18,0
1,18/04/2025,01:00:35,1
1,18/04/2025,01:00:53,2
1,18/04/2025,01:01:11,1
1,18/04/2025,01:01:29,3
1,18/04/2025,01:01:47,3
1,18/04/2025,01:02:05,0
1,18/04/2025,01:02:23,1
1,18/04/2025,01:02:42,3
1,18/04/2025,01:03:00,2
1,18/04/2025,01:03:18,2
1,18/04/2025,01:03:36,3
1,18/04/2025,01:03:54,0
1,18/04/2025,01:04:12,3
1,18/04/2025,01:04:30,2
1,18/04/2025,01:04:48,9
1,18/04/2025,01:05:06,4
1,18/04/2025,01:05:25,3
1,18/04/2025,01:05:43,2
1,18/04/2025,01:06:01,2
1,18/04/2025,01:06:19,4
1,18/04/2025,01:06:37,2
1,18/04/2025,01:07:40,2
1,18/04/2025,01:07:41,2
1,18/04/2025,01:08:01,0
1,18/04/2025,01:08:02,0
1,18/04/2025,01:08:22,3
1,18/04/2025,01:08:23,3
1,18/04/2025,01:08:43,5
1,18/04/2025,01:08:45,5
1,18/04/2025,01:09:04,1
1,18/04/2025,01:09:06,1
1,18/04/2025,01:09:25,2
1,18/04/2025,01:09:27,2
1,18/04/2025,01:09:46,4
1,18/04/2025,01:09:48,4
1,18/04/2025,01:19:07,0
1,18/04/2025,01:19:28,2
1,18/04/2025,01:19:49,3
1,18/04/2025,01:20:11,4
1,18/04/2025,01:20:32,7
1,18/04/2025,01:20:53,4
1,18/04/2025,01:21:14,0
1,18/04/2025,01:21:36,4
1,18/04/2025,01:21:57,2
1,18/04/2025,01:22:18,1
1,18/04/2025,01:22:39,6
1,18/04/2025,01:23:00,3
1,18/04/2025,01:23:22,7
1,18/04/2025,01:23:43,5
1,18/04/2025,01:24:04,2
1,18/04/2025,01:24:25,1
1,18/04/2025,01:24:47,2
1,18/04/2025,01:25:08,1
1,18/04/2025,01:25:29,2
1,18/04/2025,01:25:50,2
1,18/04/2025,01:26:11,0
1,18/04/2025,01:26:32,1
1,18/04/2025,01:26:53,4
1,18/04/2025,01:27:14,2
1,18/04/2025,01:27:35,3
1,18/04/2025,01:27:56,2
1,18/04/2025,01:28:48,1
1,18/04/2025,01:31:05,2
1,18/04/2025,01:31:29,3
1,18/04/2025,01:31:53,3
1,18/04/2025,01:32:14,1
1,18/04/2025,01:32:35,2
1,18/04/2025,01:32:56,1
1,18/04/2025,01:33:18,1
1,18/04/2025,01:33:39,1
1,18/04/2025,01:34:00,0
1,18/04/2025,01:34:21,1
1,18/04/2025,01:34:42,2
1,18/04/2025,01:35:03,2
1,18/04/2025,01:35:24,1
1,18/04/2025,01:35:45,1
1,18/04/2025,01:36:06,0
1,18/04/2025,01:37:06,2
1,18/04/2025,01:37:27,1
1,18/04/2025,01:37:48,2
1,18/04/2025,01:38:09,1
1,18/04/2025,01:38:30,1
1,18/04/2025,01:38:51,2
1,18/04/2025,01:40:00,2
1,18/04/2025,01:40:22,0
1,18/04/2025,01:40:43,2
1,18/04/2025,01:41:04,1
1,18/04/2025,01:41:25,2
1,18/04/2025,01:41:46,2
1,18/04/2025,01:42:08,2
1,18/04/2025,01:42:29,1
1,18/04/2025,01:42:50,0
1,18/04/2025,07:17:13,2
1,18/04/2025,07:17:34,2
1,18/04/2025,07:17:55,4
1,18/04/2025,07:18:16,3
1,18/04/2025,07:18:37,2
1,18/04/2025,07:18:58,3
1,18/04/2025,07:19:19,2
1,18/04/2025,07:19:40,2
1,18/04/2025,07:20:01,2
1,18/04/2025,07:20:23,0
1,18/04/2025,07:20:44,1
1,18/04/2025,07:21:05,3
1,18/04/2025,07:21:26,1
1,18/04/2025,07:21:47,5
1,18/04/2025,07:22:08,1
1,18/04/2025,07:22:30,3
1,18/04/2025,07:22:52,3
1,18/04/2025,07:23:13,2
1,18/04/2025,07:23:34,3
1,18/04/2025,07:23:55,2
1,18/04/2025,07:24:16,3
1,18/04/2025,07:24:37,1
1,18/04/2025,07:24:58,0
1,18/04/2025,07:25:20,0
1,18/04/2025,07:25:42,2
1,18/04/2025,07:26:03,1
1,18/04/2025,07:26:24,1
1,18/04/2025,07:26:46,1
1,18/04/2025,07:27:07,0
1,18/04/2025,07:27:28,0
1,18/04/2025,07:27:49,0
1,18/04/2025,07:28:10,3
1,18/04/2025,07:28:31,0
1,18/04/2025,07:28:52,1
1,18/04/2025,07:29:13,1
1,18/04/2025,07:29:35,0
1,18/04/2025,07:29:56,0
1,18/04/2025,07:30:17,3
1,18/04/2025,07:30:38,2
1,18/04/2025,07:30:59,1
1,18/04/2025,07:31:20,0
1,18/04/2025,07:31:41,2
1,18/04/2025,07:32:02,3
1,18/04/2025,07:32:24,2
1,18/04/2025,07:32:45,1
1,18/04/2025,07:33:06,1
1,18/04/2025,07:33:27,1
1,18/04/2025,07:33:48,1
1,18/04/2025,07:34:09,3
1,18/04/2025,07:34:30,2
1,18/04/2025,07:34:51,1
1,18/04/2025,07:35:12,2
1,18/04/2025,07:35:34,2
1,18/04/2025,07:35:55,5
1,18/04/2025,07:36:16,4
1,18/04/2025,07:36:37,3
1,18/04/2025,07:36:58,2
1,18/04/2025,07:37:19,2
1,18/04/2025,07:37:41,2
1,18/04/2025,07:38:03,1
1,18/04/2025,07:38:24,2
1,18/04/2025,07:38:46,1
1,18/04/2025,07:39:07,5
1,18/04/2025,07:39:28,3
1,18/04/2025,07:39:49,1
1,18/04/2025,07:40:10,5
1,18/04/2025,07:40:31,3
1,18/04/2025,07:40:52,2
1,18/04/2025,07:41:13,1
1,18/04/2025,07:41:35,3
1,18/04/2025,07:41:56,1
1,18/04/2025,07:42:17,3
1,18/04/2025,07:42:39,2
1,18/04/2025,07:43:00,2
1,18/04/2025,07:43:21,1
1,18/04/2025,07:43:42,0
1,18/04/2025,07:44:03,1
1,18/04/2025,07:44:24,0
1,18/04/2025,07:44:45,3
1,18/04/2025,07:45:06,3
1,18/04/2025,07:45:28,1
1,18/04/2025,07:45:49,1
1,18/04/2025,07:46:10,4
1,18/04/2025,07:46:31,2
1,18/04/2025,07:46:52,0
1,18/04/2025,07:47:13,5
1,18/04/2025,07:47:35,3
1,18/04/2025,07:47:57,2
1,18/04/2025,07:48:18,4
1,18/04/2025,07:48:39,3
1,18/04/2025,07:49:01,3
1,18/04/2025,07:49:32,Error: No wlan1mon
1,18/04/2025,08:13:52,14
1,18/04/2025,08:13:52,14
1,18/04/2025,08:14:46,6
1,18/04/2025,08:14:46,6
1,18/04/2025,08:15:40,4
1,18/04/2025,08:15:40,4
1,18/04/2025,08:16:48,6
1,18/04/2025,08:17:10,11
1,18/04/2025,08:17:31,4
1,18/04/2025,08:17:52,22
1,18/04/2025,08:18:13,7
1,18/04/2025,08:18:34,7
1,18/04/2025,08:18:55,7
1,18/04/2025,08:19:16,5
1,18/04/2025,08:19:37,6
1,18/04/2025,08:19:58,3
1,18/04/2025,08:20:19,6
1,18/04/2025,08:20:40,3
1,18/04/2025,08:21:01,2
1,18/04/2025,08:21:22,6
1,18/04/2025,08:21:43,5
1,18/04/2025,08:21:48,Error: No wlan1mon
1,18/04/2025,08:23:26,19
1,18/04/2025,08:23:26,19
1,18/04/2025,08:23:52,16
1,18/04/2025,08:23:53,16
1,18/04/2025,12:51:00,5
1,18/04/2025,12:51:01,7
1,18/04/2025,12:51:21,7
1,18/04/2025,12:51:22,5
1,18/04/2025,12:51:42,6
1,18/04/2025,12:51:43,6
1,18/04/2025,12:52:03,23
1,18/04/2025,12:52:04,23
1,18/04/2025,12:52:46,3
1,18/04/2025,12:53:07,7
1,18/04/2025,12:53:28,8
1,18/04/2025,12:53:49,5
1,18/04/2025,12:54:10,5
1,18/04/2025,12:54:31,5
1,18/04/2025,12:54:53,5
1,18/04/2025,12:55:14,2
1,18/04/2025,12:55:35,6
1,18/04/2025,12:55:56,4
1,18/04/2025,12:56:17,5
1,18/04/2025,12:56:38,3
1,18/04/2025,12:56:59,1
1,18/04/2025,12:57:20,8
1,18/04/2025,12:57:41,2
1,18/04/2025,12:58:02,4
1,18/04/2025,12:58:23,17
1,18/04/2025,12:58:44,8
1,18/04/2025,12:59:05,1
1,18/04/2025,12:59:26,7
1,18/04/2025,12:59:48,3
1,18/04/2025,13:00:09,9
1,18/04/2025,13:00:30,6
1,18/04/2025,13:00:51,4
1,18/04/2025,13:01:12,3
1,18/04/2025,13:01:33,6
1,18/04/2025,13:01:54,11
1,18/04/2025,13:02:15,12
1,18/04/2025,13:02:36,4
1,18/04/2025,13:02:57,8
1,18/04/2025,13:03:19,1
1,18/04/2025,13:03:40,7
1,18/04/2025,13:04:01,8
1,18/04/2025,13:04:22,9
1,18/04/2025,13:04:44,5
1,18/04/2025,13:05:05,8
1,18/04/2025,13:05:40,9
1,18/04/2025,13:05:58,8
1,18/04/2025,13:06:16,6
1,18/04/2025,13:06:34,3
1,18/04/2025,13:06:52,9
1,18/04/2025,13:07:10,7
1,18/04/2025,13:07:28,6
1,18/04/2025,13:07:46,3
1,18/04/2025,13:08:04,2
1,18/04/2025,13:08:22,2
1,18/04/2025,13:08:40,4
1,18/04/2025,13:08:58,5
1,18/04/2025,13:09:16,9
1,18/04/2025,13:09:35,11
1,18/04/2025,13:09:53,2
1,18/04/2025,13:10:11,11
1,18/04/2025,13:10:29,12
1,18/04/2025,13:10:47,11
1,18/04/2025,13:11:05,14
1,18/04/2025,13:11:23,5
1,18/04/2025,13:11:41,5
1,18/04/2025,13:11:59,7
1,18/04/2025,13:12:17,9
1,18/04/2025,13:12:35,8
1,18/04/2025,13:12:53,14
1,18/04/2025,13:13:11,7
1,18/04/2025,13:13:29,12
1,18/04/2025,13:13:48,13
1,18/04/2025,13:14:06,11
1,18/04/2025,13:14:24,7
1,18/04/2025,13:14:42,9
1,18/04/2025,13:15:00,5
1,18/04/2025,13:15:18,7
1,18/04/2025,13:15:36,6
1,18/04/2025,13:15:54,6
1,18/04/2025,13:16:12,5
1,18/04/2025,13:16:31,6
1,18/04/2025,13:16:49,10
1,18/04/2025,13:17:07,10
1,18/04/2025,13:17:25,7
1,18/04/2025,13:17:43,6
1,18/04/2025,13:18:02,13
1,18/04/2025,13:18:20,13
1,18/04/2025,13:18:38,13
1,18/04/2025,13:18:56,9
1,18/04/2025,13:19:20,9
1,18/04/2025,13:19:39,5
1,18/04/2025,13:19:57,10
1,18/04/2025,13:20:15,11
1,18/04/2025,13:20:33,18
1,18/04/2025,13:20:51,6
1,18/04/2025,13:21:10,14
1,18/04/2025,13:21:28,19
1,18/04/2025,13:21:46,14
1,18/04/2025,13:22:04,12
1,18/04/2025,13:22:22,11
1,18/04/2025,13:22:40,7
1,18/04/2025,13:23:06,10
1,18/04/2025,13:23:19,6
1,18/04/2025,13:23:32,5
1,18/04/2025,13:23:45,6
1,18/04/2025,13:23:58,8
1,18/04/2025,13:24:11,9
1,18/04/2025,13:24:25,3
1,18/04/2025,13:24:38,6
1,18/04/2025,13:24:51,8
1,18/04/2025,13:25:04,4
1,18/04/2025,13:25:17,12
1,18/04/2025,13:25:30,8
1,18/04/2025,13:25:43,8
1,18/04/2025,13:25:56,8
1,18/04/2025,13:26:10,7
1,18/04/2025,13:26:23,3
1,18/04/2025,13:26:36,4
1,18/04/2025,13:26:49,6
1,18/04/2025,13:27:02,10
1,18/04/2025,13:27:15,4
1,18/04/2025,13:27:28,8
1,18/04/2025,13:27:41,10
1,18/04/2025,13:27:54,10
1,18/04/2025,13:28:07,10
1,18/04/2025,13:28:21,6
1,18/04/2025,13:28:34,8
1,18/04/2025,13:28:57,7
1,18/04/2025,13:29:09,13
1,18/04/2025,13:29:20,6
1,18/04/2025,13:29:31,5
1,18/04/2025,13:29:42,8
1,18/04/2025,13:29:53,8
1,18/04/2025,13:30:04,11
1,18/04/2025,13:30:15,10
1,18/04/2025,13:30:27,9
1,18/04/2025,13:30:38,12
1,18/04/2025,13:30:49,16
1,18/04/2025,13:31:00,18
1,18/04/2025,13:31:11,21
1,18/04/2025,13:31:23,20
1,18/04/2025,13:31:34,20
1,18/04/2025,13:31:45,9
1,18/04/2025,13:31:56,8
1,18/04/2025,13:32:07,6
1,18/04/2025,13:32:19,6
1,18/04/2025,13:32:30,10
1,18/04/2025,13:32:41,9
1,18/04/2025,13:32:52,5
1,18/04/2025,13:33:03,12
1,18/04/2025,13:33:14,9
1,18/04/2025,13:33:26,7
1,18/04/2025,13:33:37,6
1,18/04/2025,13:33:48,7
1,18/04/2025,13:33:59,7
1,18/04/2025,13:34:10,8
1,18/04/2025,13:34:22,7
1,18/04/2025,13:34:33,10
1,18/04/2025,13:34:44,11
1,18/04/2025,13:34:55,14
1,18/04/2025,13:35:06,11
1,18/04/2025,13:35:18,14
1,18/04/2025,13:35:29,14
1,18/04/2025,13:35:40,12
1,18/04/2025,13:35:51,10
1,18/04/2025,13:36:02,6
1,18/04/2025,13:36:14,4
1,18/04/2025,13:36:25,5
1,18/04/2025,13:36:36,13
1,18/04/2025,13:36:47,4
1,18/04/2025,13:36:58,7
1,18/04/2025,13:37:09,15
1,18/04/2025,13:37:20,8
1,18/04/2025,13:37:32,7
1,18/04/2025,13:37:43,13
1,18/04/2025,13:37:54,6
1,18/04/2025,13:38:06,13
1,18/04/2025,13:38:17,10
1,18/04/2025,13:38:28,7
1,18/04/2025,13:38:39,8
1,18/04/2025,13:38:50,7
1,18/04/2025,13:39:02,6
1,18/04/2025,13:39:13,6
1,18/04/2025,13:39:24,8
1,18/04/2025,13:39:35,6
1,18/04/2025,13:39:46,2
1,18/04/2025,13:39:57,3
1,18/04/2025,13:40:08,10
1,18/04/2025,13:40:19,7
1,18/04/2025,13:40:30,8
1,18/04/2025,13:40:42,9
1,18/04/2025,13:40:53,5
1,18/04/2025,13:41:04,2
1,18/04/2025,13:41:15,11
1,18/04/2025,13:41:26,7
1,18/04/2025,13:41:37,9
1,18/04/2025,13:41:49,4
1,18/04/2025,13:42:00,7
1,18/04/2025,13:42:11,6
1,18/04/2025,13:42:22,5
1,18/04/2025,13:42:33,6
1,18/04/2025,13:42:45,5
1,18/04/2025,13:42:56,5
1,18/04/2025,13:43:07,9
1,18/04/2025,13:43:18,11
1,18/04/2025,13:43:29,8
1,18/04/2025,13:43:40,10
1,18/04/2025,13:43:51,5
1,18/04/2025,13:44:03,8
1,18/04/2025,13:44:14,8
1,18/04/2025,13:44:25,7
1,18/04/2025,13:44:36,4
1,18/04/2025,13:44:47,3
1,18/04/2025,13:44:59,11
1,18/04/2025,13:45:10,6
1,18/04/2025,13:45:21,9
1,18/04/2025,13:45:32,4
1,18/04/2025,13:45:43,4
1,18/04/2025,13:45:55,6
1,18/04/2025,13:46:06,4
